hanza,mean_sound
歌,노래 가
家,집 가
加,더할 가
街,거리 가
価,값 가
可,옳을 가
仮,거짓 가
佳,아름다울 가
苛,가혹할 가
架,시렁 가
嫁,시집갈 가
暇,틈/겨를 가
稼,심을 가
角,뿔 각
各,각각 각
覚,깨달을 각
刻,새길 각
閣,집 각
却,물리칠 각
殻,껍질 각
脚,다리 각
間,사이 간
刊,새길 간
幹,줄기 간
干,방패 간
看,볼 간
簡,대쪽 간
肝,간 간
墾,개간할 간
懇,간절할 간
喝,꾸짖을 갈
渇,목마를 갈
葛,칡 갈
褐,갈색 갈
感,느낄 감
減,덜 감
甘,달 감
勘,헤아릴 감
紺,감색 감
堪,견딜 감
敢,감히 감
監,볼 감
憾,섭섭할 감
鑑,거울 감
甲,갑옷 갑
岬,곶 갑
強,강할 강
康,편안할 강
講,외울 강
降,내릴 강/항복할 항
鋼,강철 강
江,강 강
岡,언덕 강
剛,굳셀 강
綱,벼리 강
開,열 개
改,고칠 개
個,낱 개
介,끼일 개
皆,다 개
慨,분개할 개
蓋,덮을 개
箇,낱 개
概,대개 개
客,손 객
坑,구덩이 갱
去,갈 거
挙,들 거
居,살 거
巨,클 거
拒,막을 거
拠,근거 거
据,일할 거
距,떨어질 거
裾,옷자락 거
建,세울 건
健,굳셀 건
件,물건 건
巾,수건 건
乾,마를 건
鍵,열쇠 건
乞,빌 걸
傑,뛰어날 걸
検,검사할 검
倹,검소할 검
剣,칼 검
掲,걸 게
憩,쉴 게
格,격식 격
激,격할 격
隔,사이뜰 격
撃,칠 격
犬,개 견
見,볼 견
絹,비단 견
肩,어깨 견
堅,굳을 견
遣,보낼 견
繭,고치 견
決,결단할 결
欠,이지러질 결
結,맺을 결
潔,깨끗할 결
兼,겸할 겸
謙,겸손할 겸
鎌,낫 겸
京,서울 경
軽,가벼울 경
径,지름길/ 길 경
景,볕 경
鏡,거울 경
競,다툴 경
経,지날/ 글 경
耕,밭 갈 경
境,지경 경
敬,공경할 경
警,깨우칠 경
茎,줄기 경
更,고칠 경/ 다시 갱
頃,잠깐 경
梗,줄기 경
硬,굳을 경
傾,기울 경
慶,경사 경
憬,깨달을 경
鯨,고래 경
驚,놀랄 경
計,셀 계
係,맬 계
界,지경 계
階,섬돌 계
季,계절 계
械,기계 계
系,이을 계
届,이를 계
戒,경계할 계
契,맺을 계
啓,열 계
渓,시내 계
継,이을 계
稽,머무를 계
鶏,닭 계
古,옛 고
考,생각할 고
高,높을 고
苦,쓸 고
庫,곳집 고
告,고할 고
固,굳을 고
故,연고 고
尻,꽁무니 고
股,넓적다리 고
孤,외로울 고
拷,칠 고
枯,마를 고
雇,품 팔 고
鼓,북 고
稿,원고 고
錮,막을 고
顧,돌아볼 고
谷,골짜기 곡
曲,굽을 곡
穀,곡식 곡
困,곤할 곤
昆,벌레 곤
骨,뼈 골
空,빌 공
工,장인 공
公,공평할 공
功,공 공
共,한가지 공
供,이바지할 공
孔,구멍 공
攻,칠 공
恐,두려울 공
恭,공손할 공
貢,바칠 공
控,당길 공
科,과목 과
果,실과 과
課,공부할 과
過,지날 과
菓,과자 과
誇,자랑할 과
寡,적을 과
鍋,냄비 과
郭,둘레 곽
館,집 관
官,벼슬 관
管,대롱 관
関,관계할 관
観,볼 관
慣,익숙할 관
串,꿸 관
缶,두레박 관
冠,갓 관
貫,꿸 관
棺,널 관
款,항목 관
寛,너그러울 관
括,묶을 괄
広,넓을 광
光,빛 광
鉱,쇳돌 광
狂,미칠 광
掛,걸 괘
怪,괴이할 괴
拐,후릴 괴
塊,덩어리 괴
壊,무너질 괴
校,학교 교
交,사귈 교
教,가르칠 교
橋,다리 교
巧,공교할 교
郊,들 교
絞,목맬 교
較,견줄 교
矯,바로잡을 교
九,아홉 구
口,입 구
区,구분할 구
